0,0,0
85048.8324331782,50373.4461926705,22652.2757278072
98063.5938238208,65386.916297406,32255.1561171682
102535.197928557,68583.2591246755,34050.1191942597
108842.192820106,72672.3684970743,36036.9750441819
131877.476972279,84806.3477966369,41162.3994738699
178751.322828129,112981.643809919,54167.1522196824
242328.535160504,153827.979384577,73879.5002612706
323531.888400283,205805.610747197,98992.5616971679
392150.552895795,256008.580954559,125016.76669148
443332.649403872,292558.07353084,143947.552330689
489567.784711718,324366.009966106,160041.510043175
557922.8511571,365964.231618062,179576.566561341
655395.604901393,427825.473286277,209225.474863287
778212.28593616,507090.323238211,247679.088363862
901672.713037987,591867.784010624,290278.695398863
1022898.2023201,673690.078474503,331177.600947388
1151877.06027952,759591.394854163,373731.651192239
1306182.98124393,859364.166446504,422294.249864136
1491500.31911509,980197.859111348,481300.886804127
1707331.44675458,1121569.4027286,550557.135102221
