0,0,0
40626.5169081421,16928.9968930991,7515.13250063179
40584.9984367076,20580.0476368269,10191.3512160926
41817.6502547106,21043.5527114014,10459.7033093091
44292.6857368806,22132.7644920993,10965.075829764
56429.8652641596,26145.2307643464,12585.4714068251
78385.7213619673,35320.4122474569,16760.2395477355
105897.724334287,48245.8830318503,22971.9973273414
141065.428022014,64524.6545237487,30786.8703699122
165316.765269362,79503.0703184675,38683.7355200757
183833.950386572,90018.5942099019,44189.2555768897
201534.249835105,99279.7100899831,48876.5045840715
232667.587324466,112218.868824638,54823.8737076769
275262.888577255,131658.772350664,64058.1853473522
327838.019303521,156385.370114815,75987.8250663904
376217.909305931,182164.786602726,89008.2764276258
424644.56700029,206792.38281633,101323.576588671
477121.745777117,232788.909158523,114166.317052739
542609.094243234,263439.684269969,128969.198837155
620600.971247866,300716.608308403,147078.532887586
710917.703975998,344257.955876024,168321.307707655
