0,0,0
72804.200947332,35975.4514737127,16216.4057315914
78663.689404761,45328.3707171574,22449.4310522748
80854.1130266988,46562.4954811532,23162.6721971572
85457.2147611843,48977.952982776,24302.8757876003
105394.939434965,57340.6318746253,27801.9897576759
144691.024520408,77036.9394583011,36898.4085811532
196333.153006767,105270.203562097,50548.0628686396
261937.19688722,140872.506051258,67760.7598288094
313589.876350197,174647.989008398,85349.6080704553
351470.575744187,198443.737274291,97708.7843027154
386405.503654349,219176.620296612,108186.762674481
442070.337408768,247197.103625543,121276.375650076
521133.778035065,289571.572550112,141575.361359476
619905.982030956,343738.998611753,167865.847919575
715958.097131458,401072.312257308,196738.613325992
810121.952554097,455787.148089834,224105.049688515
911044.131513522,513316.675200695,252592.042115148
1033913.83450451,580619.982454248,285309.899941435
1181533.67707884,662543.819429268,325305.875818275
1353081.12673714,758362.231931403,372251.398424295
