0,0,0
54440.9475381931,31856.5025850989,14086.8343294414
59690.3083086981,39885.9901788364,19663.8018793986
62135.397574863,41497.0194772629,20586.4387225756
65890.4041904524,43882.9015131746,21727.9783945297
81269.3466958959,51616.0053770319,24878.1443214165
111111.109235338,69199.9344310651,32870.3098269848
150424.850576857,94266.6224314433,44891.9293618976
200680.872670537,126073.665555197,60152.0269312939
240278.948801714,155906.124445502,75792.8699213053
270100.158556206,177433.467967552,87035.8237920933
297510.971405446,196315.776893149,96607.3271135036
340609.848160845,221864.483403277,108417.418594765
401087.026524794,259797.32375726,126440.435239841
476754.255828762,308194.048564897,149776.718503645
550490.153077195,359199.673468044,175471.74299095
623420.752712149,408360.495452428,200043.586202458
701481.3454888,460139.40633325,225636.713793566
796271.053430976,520756.84616676,254952.839668277
909743.834955528,594197.444330308,290637.011130569
1041650.07722298,680030.840525625,332507.060019877
