"","treatment","ring","c_incorp_mean","c_incorp_sd"
"1","Alcanivorax","inner",2.60969073378402,1.47098227094078
"2","Alcanivorax","outer",4.34119668545265,2.01059595244521
"3","Devosia","inner",47.3491280348281,13.6048605775522
"4","Devosia","outer",5.47386126766854,1.44540098686239
"5","Marinobacter","inner",23.0945836488301,11.6117053148122
"6","Marinobacter","outer",1.47606311629836,0.293249063656999
"7","none","outer",8.65292973594639,2.21351385189488
